api,rtt_ms
PRIVATE_IP_022,4.928827
PRIVATE_IP_022,4.184008
PRIVATE_IP_022,4.890203
PRIVATE_IP_022,4.688978
PRIVATE_IP_022,5.089045
PRIVATE_IP_022,5.408049
PRIVATE_IP_022,7.959843
PRIVATE_IP_022,3.363848
PRIVATE_IP_022,5.388021
PRIVATE_IP_022,8.584023
PRIVATE_IP_022,5.727053
PRIVATE_IP_022,4.573107
PRIVATE_IP_022,5.810022
PRIVATE_IP_022,4.617929
PRIVATE_IP_022,4.179955
PRIVATE_IP_022,5.624056
PRIVATE_IP_022,6.402969
PRIVATE_IP_022,4.836798
PRIVATE_IP_022,4.780054
PRIVATE_IP_022,4.727125
PRIVATE_IP_022,4.908085
PRIVATE_IP_022,3.194094
PRIVATE_IP_022,6.352901
PRIVATE_IP_022,5.295038
PRIVATE_IP_022,5.265951
PRIVATE_IP_022,4.450083
PRIVATE_IP_022,4.617929
PRIVATE_IP_022,5.028963
PRIVATE_IP_022,4.520893
PRIVATE_IP_022,5.954027
PRIVATE_IP_022,4.089832
PRIVATE_IP_022,4.149199
PRIVATE_IP_022,3.900051
PRIVATE_IP_022,3.408909
PRIVATE_IP_022,8.217812
PRIVATE_IP_022,6.021976
PRIVATE_IP_022,4.597902
PRIVATE_IP_022,6.436110
PRIVATE_IP_022,8.028984
PRIVATE_IP_022,4.884958
PRIVATE_IP_022,5.311012
PRIVATE_IP_022,5.842924
PRIVATE_IP_022,6.460905
PRIVATE_IP_022,4.956961
PRIVATE_IP_022,6.194115
PRIVATE_IP_022,5.647898
PRIVATE_IP_022,7.534027
PRIVATE_IP_022,6.042957
PRIVATE_IP_022,4.408121
PRIVATE_IP_022,6.124973
PRIVATE_IP_022,5.656004
PRIVATE_IP_022,6.124973
PRIVATE_IP_022,5.161047
PRIVATE_IP_022,6.215096
PRIVATE_IP_022,8.120775
PRIVATE_IP_022,8.791924
PRIVATE_IP_022,6.110907
PRIVATE_IP_022,5.738020
PRIVATE_IP_022,4.559040
PRIVATE_IP_022,6.960869
PRIVATE_IP_022,5.800962
PRIVATE_IP_022,7.967949
PRIVATE_IP_022,5.886078
PRIVATE_IP_022,3.173113
PRIVATE_IP_022,6.133795
PRIVATE_IP_022,5.761862
PRIVATE_IP_022,4.575968
PRIVATE_IP_022,6.092072
PRIVATE_IP_022,7.689953
PRIVATE_IP_022,6.156921
PRIVATE_IP_022,4.812956
PRIVATE_IP_022,3.276110
PRIVATE_IP_022,8.718014
PRIVATE_IP_022,3.349066
PRIVATE_IP_022,5.421162
PRIVATE_IP_022,4.492044
PRIVATE_IP_022,4.418135
PRIVATE_IP_022,7.277966
PRIVATE_IP_022,3.349066
PRIVATE_IP_022,4.158020
PRIVATE_IP_022,4.767895
PRIVATE_IP_022,6.074905
PRIVATE_IP_022,5.260944
PRIVATE_IP_022,5.121946
PRIVATE_IP_022,5.676031
PRIVATE_IP_022,5.166769
PRIVATE_IP_022,5.231857
PRIVATE_IP_022,5.484104
PRIVATE_IP_022,5.911112
PRIVATE_IP_022,4.835844
PRIVATE_IP_022,5.862951
PRIVATE_IP_022,4.003048
PRIVATE_IP_022,3.578186
PRIVATE_IP_022,4.360914
PRIVATE_IP_022,4.235029
PRIVATE_IP_022,6.453991
PRIVATE_IP_022,6.129026
PRIVATE_IP_022,7.963896
PRIVATE_IP_022,6.081104
PRIVATE_IP_022,5.418062
PRIVATE_IP_022,5.100012
PRIVATE_IP_022,6.232023
PRIVATE_IP_022,4.481077
PRIVATE_IP_022,4.240990
PRIVATE_IP_022,4.548788
PRIVATE_IP_022,4.431009
PRIVATE_IP_022,6.443977
PRIVATE_IP_022,7.251978
PRIVATE_IP_022,8.170128
PRIVATE_IP_022,4.552126
PRIVATE_IP_022,7.816076
PRIVATE_IP_022,3.432035
PRIVATE_IP_022,5.019903
PRIVATE_IP_022,6.648064
PRIVATE_IP_022,3.326893
PRIVATE_IP_022,5.162954
PRIVATE_IP_022,3.901958
PRIVATE_IP_022,6.220102
PRIVATE_IP_022,6.802797
PRIVATE_IP_022,4.955053
PRIVATE_IP_022,4.860878
PRIVATE_IP_022,4.740000
PRIVATE_IP_022,4.754066
PRIVATE_IP_022,4.823923
PRIVATE_IP_022,5.612135
PRIVATE_IP_022,4.085064
PRIVATE_IP_022,6.896973
PRIVATE_IP_022,4.340172
PRIVATE_IP_022,7.560015
PRIVATE_IP_022,4.307985
PRIVATE_IP_022,4.215002
PRIVATE_IP_022,4.703045
PRIVATE_IP_022,5.115032
PRIVATE_IP_022,4.529953
PRIVATE_IP_022,4.221916
PRIVATE_IP_022,8.482933
PRIVATE_IP_022,5.678892
PRIVATE_IP_022,4.137993
PRIVATE_IP_022,5.118847
PRIVATE_IP_022,6.843090
PRIVATE_IP_022,4.276037
PRIVATE_IP_022,4.284859
PRIVATE_IP_022,5.036116
PRIVATE_IP_022,8.158207
PRIVATE_IP_022,6.296873
PRIVATE_IP_022,3.504992
PRIVATE_IP_022,8.126974
PRIVATE_IP_022,6.784916
PRIVATE_IP_022,7.354975
PRIVATE_IP_022,4.145861
PRIVATE_IP_022,6.089926
PRIVATE_IP_022,4.214048
PRIVATE_IP_022,4.476070
PRIVATE_IP_022,5.810022
PRIVATE_IP_022,7.808924
PRIVATE_IP_022,5.702019
PRIVATE_IP_022,5.023003
PRIVATE_IP_022,7.019997
PRIVATE_IP_022,4.752159
PRIVATE_IP_022,6.415844
PRIVATE_IP_022,4.343987
PRIVATE_IP_022,4.909992
PRIVATE_IP_022,6.230116
PRIVATE_IP_022,4.875898
PRIVATE_IP_022,6.219149
PRIVATE_IP_022,6.550074
PRIVATE_IP_022,7.926941
PRIVATE_IP_022,4.967928
PRIVATE_IP_022,4.904985
PRIVATE_IP_022,5.362034
PRIVATE_IP_022,5.177021
PRIVATE_IP_022,5.483150
PRIVATE_IP_022,4.245043
PRIVATE_IP_022,5.648136
PRIVATE_IP_022,4.245996
PRIVATE_IP_022,5.053043
PRIVATE_IP_022,6.484985
PRIVATE_IP_022,6.934166
PRIVATE_IP_022,5.126953
PRIVATE_IP_022,11.454105
PRIVATE_IP_022,3.000021
PRIVATE_IP_022,4.817963
PRIVATE_IP_022,5.995989
PRIVATE_IP_022,4.186153
PRIVATE_IP_022,4.796028
PRIVATE_IP_022,4.526138
PRIVATE_IP_022,4.232883
PRIVATE_IP_022,4.359007
PRIVATE_IP_022,5.465031
PRIVATE_IP_022,9.161949
PRIVATE_IP_022,4.647017
PRIVATE_IP_022,4.295826
PRIVATE_IP_022,4.777908
PRIVATE_IP_022,5.416155
PRIVATE_IP_022,4.636049
PRIVATE_IP_022,4.743099
PRIVATE_IP_022,5.707979
PRIVATE_IP_022,4.566193
PRIVATE_IP_022,4.258871
PRIVATE_IP_022,5.974054
PRIVATE_IP_022,6.596804
PRIVATE_IP_022,4.674911
PRIVATE_IP_022,6.934881
PRIVATE_IP_022,5.269051
PRIVATE_IP_022,10.588884
PRIVATE_IP_022,6.873131
PRIVATE_IP_022,6.782055
PRIVATE_IP_022,4.330873
PRIVATE_IP_022,6.807804
PRIVATE_IP_022,5.363226
PRIVATE_IP_022,5.299807
PRIVATE_IP_022,5.004883
PRIVATE_IP_022,6.421804
PRIVATE_IP_022,8.905172
PRIVATE_IP_022,6.083965
PRIVATE_IP_022,5.217791
PRIVATE_IP_022,6.737947
PRIVATE_IP_022,5.907774
PRIVATE_IP_022,4.267931
PRIVATE_IP_022,5.857944
PRIVATE_IP_022,5.285025
PRIVATE_IP_022,4.843950
PRIVATE_IP_022,4.622936
PRIVATE_IP_022,4.400969
PRIVATE_IP_022,4.958868
PRIVATE_IP_022,3.690958
PRIVATE_IP_022,5.059004
PRIVATE_IP_022,7.299185
PRIVATE_IP_022,5.585194
PRIVATE_IP_022,4.977942
PRIVATE_IP_022,7.124901
PRIVATE_IP_022,4.760981
PRIVATE_IP_022,6.907940
PRIVATE_IP_022,6.278992
PRIVATE_IP_022,5.106926
PRIVATE_IP_022,8.465052
PRIVATE_IP_022,3.937006
PRIVATE_IP_022,7.491827
PRIVATE_IP_022,6.330967
PRIVATE_IP_022,4.173040
PRIVATE_IP_022,7.776976
PRIVATE_IP_022,3.616810
PRIVATE_IP_022,5.198956
PRIVATE_IP_022,5.460024
PRIVATE_IP_022,4.468918
PRIVATE_IP_022,5.059958
PRIVATE_IP_022,4.319906
PRIVATE_IP_022,4.296780
PRIVATE_IP_022,7.429123
PRIVATE_IP_022,4.474878
PRIVATE_IP_022,5.370855
PRIVATE_IP_022,7.529974
PRIVATE_IP_022,4.528046
PRIVATE_IP_022,6.733894
PRIVATE_IP_022,6.904840
PRIVATE_IP_022,4.455090
PRIVATE_IP_022,6.129980
PRIVATE_IP_022,6.917953
PRIVATE_IP_022,5.409002
PRIVATE_IP_022,6.673813
PRIVATE_IP_022,4.294872
PRIVATE_IP_022,3.746033
PRIVATE_IP_022,5.119801
PRIVATE_IP_022,5.632877
PRIVATE_IP_022,6.646872
