epoch,iso,cpu_pct,load1,mem_total_mib,mem_avail_mib,mem_used_mib,mem_used_pct,swap_used_mib,temp_max_c ,net_macsec0_rx_mbps,net_macsec0_tx_mbps,net_macsec0_total_mbps,net_macsec0_rx_pps,net_macsec0_tx_pps,net_macsec0_rx_errors_s,net_macsec0_tx_errors_s,net_macsec0_rx_drops_s,net_macsec0_tx_drops_s ,net_enp2s0_rx_mbps,net_enp2s0_tx_mbps,net_enp2s0_total_mbps,net_enp2s0_rx_pps,net_enp2s0_tx_pps,net_enp2s0_rx_errors_s,net_enp2s0_tx_errors_s,net_enp2s0_rx_drops_s,net_enp2s0_tx_drops_s ,net_enp1s0_rx_mbps,net_enp1s0_tx_mbps,net_enp1s0_total_mbps,net_enp1s0_rx_pps,net_enp1s0_tx_pps,net_enp1s0_rx_errors_s,net_enp1s0_tx_errors_s,net_enp1s0_rx_drops_s,net_enp1s0_tx_drops_s
1781801580.750516117,2026-06-18T16:53:00+00:00,0.980,0.11,7783.762,7271.375,512.387,6.583,0.000,48.00,0.004768,0.007912,0.012680,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.010208,0.009960,0.020168,16.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.007912,0.007648,0.015560,8.000000,16.000000,0.000000,0.000000,0.000000,0.000000
1781801581.976510784,2026-06-18T16:53:01+00:00,4.723,0.11,7783.762,7269.410,514.352,6.608,0.000,49.00,0.007744,0.014152,0.021896,16.000000,15.000000,0.000000,0.000000,1.000000,0.000000,0.015856,0.017992,0.033848,23.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.014632,0.010592,0.025224,16.000000,22.000000,0.000000,0.000000,0.000000,0.000000
1781801583.259041205,2026-06-18T16:53:03+00:00,5.894,0.11,7783.762,7267.457,516.305,6.633,0.000,49.00,0.007648,0.013528,0.021176,16.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.016080,0.017112,0.033192,25.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.013048,0.014864,0.027912,13.000000,31.000000,0.000000,0.000000,0.000000,0.000000
1781801584.656415735,2026-06-18T16:53:04+00:00,7.374,0.10,7783.762,7266.730,517.031,6.642,0.000,47.00,0.007648,0.008856,0.016504,16.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.015856,0.011416,0.027272,25.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.008856,0.010096,0.018952,10.000000,21.000000,0.000000,0.000000,0.000000,0.000000
1781801586.039618433,2026-06-18T16:53:06+00:00,8.015,0.10,7783.762,7266.246,517.516,6.649,0.000,48.00,0.008176,0.013224,0.021400,17.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.020560,0.016552,0.037112,29.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.013704,0.015248,0.028952,14.000000,27.000000,0.000000,0.000000,0.000000,0.000000
1781801587.196376002,2026-06-18T16:53:07+00:00,3.922,0.10,7783.762,7266.262,517.500,6.648,0.000,48.00,0.004768,0.009464,0.014232,10.000000,11.000000,0.000000,0.000000,1.000000,0.000000,0.015616,0.016560,0.032176,25.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.011680,0.012112,0.023792,13.000000,25.000000,0.000000,0.000000,0.000000,0.000000
1781801588.571672942,2026-06-18T16:53:08+00:00,7.169,0.10,7783.762,7265.527,518.234,6.658,0.000,48.00,0.009104,0.014384,0.023488,19.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.019472,0.014712,0.034184,21.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.009880,0.011792,0.021672,12.000000,20.000000,0.000000,0.000000,0.000000,0.000000
1781801589.726825170,2026-06-18T16:53:09+00:00,3.913,0.09,7783.762,7264.570,519.191,6.670,0.000,49.00,0.006592,0.010488,0.017080,14.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.013552,0.013816,0.027368,21.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.010488,0.009968,0.020456,13.000000,21.000000,0.000000,0.000000,0.000000,0.000000
1781801590.909056579,2026-06-18T16:53:10+00:00,4.034,0.09,7783.762,7262.551,521.211,6.696,0.000,49.00,0.004768,0.008424,0.013192,10.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.016368,0.015000,0.031368,22.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.012664,0.013280,0.025944,12.000000,23.000000,0.000000,0.000000,0.000000,0.000000
1781801592.269990795,2026-06-18T16:53:12+00:00,7.196,0.09,7783.762,7259.871,523.891,6.731,0.000,48.00,0.009136,0.013904,0.023040,19.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.015344,0.013472,0.028816,23.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.010176,0.010096,0.020272,10.000000,21.000000,0.000000,0.000000,0.000000,0.000000
