source_path_redacted,public_path,action,reason,source_size_bytes
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/background_pids.txt,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/background_pids.txt,sanitized_text,text identifiers and sensitive values redacted,792
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/commands.log,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/commands.log,sanitized_text,text identifiers and sensitive values redacted,5916
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/metadata.txt,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/metadata.txt,sanitized_text,text identifiers and sensitive values redacted,4448
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/notes.txt,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/notes.txt,sanitized_text,text identifiers and sensitive values redacted,0
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/pcap_file.txt,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/pcap_file.txt,sanitized_text,text identifiers and sensitive values redacted,121
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/probe_report.html,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/probe_report.html,sanitized_text,text identifiers and sensitive values redacted,42098
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/README.txt,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/README.txt,sanitized_text,text identifiers and sensitive values redacted,2324
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/cpu_process_summary.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/cpu_process_summary.csv,sanitized_text,text identifiers and sensitive values redacted,1511
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/interface_delta.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/interface_delta.csv,sanitized_text,text identifiers and sensitive values redacted,233
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/key_metrics_compact.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/key_metrics_compact.csv,sanitized_text,text identifiers and sensitive values redacted,2973
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/latency_samples.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/latency_samples.csv,sanitized_text,text identifiers and sensitive values redacted,281097
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/latency_stats.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/latency_stats.csv,sanitized_text,text identifiers and sensitive values redacted,508
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/network_rates.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/network_rates.csv,sanitized_text,text identifiers and sensitive values redacted,908
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/openssl_speed_summary.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/openssl_speed_summary.csv,sanitized_text,text identifiers and sensitive values redacted,725
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/packet_service_counts.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/packet_service_counts.csv,sanitized_text,text identifiers and sensitive values redacted,1233
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/payload_entropy.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/payload_entropy.csv,sanitized_text,text identifiers and sensitive values redacted,87
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/pmtu_loss_summary.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/pmtu_loss_summary.csv,sanitized_text,text identifiers and sensitive values redacted,615
Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/probe_dataset.csv,Baseline/res_scada_baseline_rend/baseline_PRIVATE_IP_021_20260616_155932/csv/probe_dataset.csv,sanitized_text,text identifiers and sensitive values redacted,406582
